"Location","Sample","antigen","value","metric","group","samp","conc","ctrl_group","conc_label","which","dups"
"199(1,I7)","Unknown1","HlyE",125250.8906,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_HlyE_Claire at MGH"
"200(1,I8)","Unknown1","HlyE",130421.2578,"Median","Samples","Unknown1",0.001,"MGH mixed pool","0.736111111","Claire at MGH","MGH mixed pool_0.001_HlyE_Claire at MGH"
"201(1,I9)","Unknown2","HlyE",26096.80664,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_HlyE_Claire at MGH"
"202(1,I10)","Unknown2","HlyE",38336.55859,"Median","Samples","Unknown2",0.00025,"MGH mixed pool","2.819444444","Claire at MGH","MGH mixed pool_0.00025_HlyE_Claire at MGH"
"203(1,I11)","Unknown3","HlyE",8270.58008,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_HlyE_Claire at MGH"
"204(1,I12)","Unknown3","HlyE",8506.48145,"Median","Samples","Unknown3",6.25e-05,"MGH mixed pool","1:16000","Claire at MGH","MGH mixed pool_6.25e-05_HlyE_Claire at MGH"
"205(1,I13)","Unknown4","HlyE",2201.90503,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_HlyE_Claire at MGH"
"206(1,I14)","Unknown4","HlyE",1659.38086,"Median","Samples","Unknown4",1.5625e-05,"MGH mixed pool","1:64000","Claire at MGH","MGH mixed pool_1.5625e-05_HlyE_Claire at MGH"
"207(1,I15)","Unknown5","HlyE",470.90332,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_HlyE_Claire at MGH"
"208(1,I16)","Unknown5","HlyE",534.11877,"Median","Samples","Unknown5",3.90625e-06,"MGH mixed pool","1:256000","Claire at MGH","MGH mixed pool_3.90625e-06_HlyE_Claire at MGH"
