"plate","isotype","Location","Sample","antigen","value","group","beadcount","ctrl_group","conc"
"Plate1","IgA","5(1,A5)","Control: MGH mixed pool1:1000","HlyE",2167.14136,"Controls",">50","MGH mixed pool",0.001
"Plate1","IgA","6(1,A6)","Control: MGH mixed pool1:1000","HlyE",2367.43604,"Controls",">50","MGH mixed pool",0.001
"Plate1","IgA","7(1,A7)","Control: MGH mixed pool1:4000","HlyE",473.94806,"Controls",">50","MGH mixed pool",0.00025
"Plate1","IgA","8(1,A8)","Control: MGH mixed pool1:4000","HlyE",408.46814,"Controls",">50","MGH mixed pool",0.00025
"Plate1","IgA","9(1,A9)","Control: MGH mixed pool1:16000","HlyE",140.37617,"Controls",">50","MGH mixed pool",6.25e-05
"Plate1","IgA","10(1,A10)","Control: MGH mixed pool1:16000","HlyE",142.70039,"Controls",">50","MGH mixed pool",6.25e-05
"Plate1","IgA","11(1,A11)","Control: MGH mixed pool1:64000","HlyE",68.50801,"Controls",">50","MGH mixed pool",1.5625e-05
"Plate1","IgA","12(1,A12)","Control: MGH mixed pool1:64000","HlyE",65.50644,"Controls",">50","MGH mixed pool",1.5625e-05
"Plate1","IgA","13(1,A13)","Control: MGH mixed pool1:256000","HlyE",45.78877,"Controls",">50","MGH mixed pool",3.91e-06
"Plate1","IgA","14(1,A14)","Control: MGH mixed pool1:256000","HlyE",48.14785,"Controls",">50","MGH mixed pool",3.91e-06
"Plate1","IgA","15(1,A15)","Control: MGH mixed pool1:1024000","HlyE",39.83213,"Controls",">50","MGH mixed pool",9.77e-07
"Plate1","IgA","16(1,A16)","Control: MGH mixed pool1:1024000","HlyE",40.38662,"Controls",">50","MGH mixed pool",9.77e-07
"Plate1","IgA","17(1,A17)","Control: MGH mixed pool1:4096000","HlyE",35.64522,"Controls",">50","MGH mixed pool",2.44e-07
"Plate1","IgA","18(1,A18)","Control: MGH mixed pool1:4096000","HlyE",35.97725,"Controls",">50","MGH mixed pool",2.44e-07
"Plate1","IgA","19(1,A19)","Control: MGH mixed pool1:16384000","HlyE",39.43701,"Controls",">50","MGH mixed pool",6.1e-08
"Plate1","IgA","20(1,A20)","Control: MGH mixed pool1:16384000","HlyE",36.46035,"Controls",">50","MGH mixed pool",6.1e-08
"Plate1","IgA","21(1,A21)","Control: Negative COVID1:1000","HlyE",48.94805,"Controls",">50","Negative COVID",0.001
"Plate1","IgA","22(1,A22)","Control: Negative COVID1:1000","HlyE",43.99082,"Controls",">50","Negative COVID",0.001
"Plate1","IgA","23(1,A23)","Control: HlyE mAb50 ng.mL","HlyE",180167.9063,"Controls",">50","HlyE mAb",50
"Plate1","IgA","24(1,A24)","Control: HlyE mAb50 ng.mL","HlyE",142716.9844,"Controls",">50","HlyE mAb",50
"Plate1","IgA","25(1,B1)","Control: HlyE mAb12.5 ng.mL","HlyE",12284.86035,"Controls",">50","HlyE mAb",12.5
"Plate1","IgA","26(1,B2)","Control: HlyE mAb12.5 ng.mL","HlyE",13757.93652,"Controls",">50","HlyE mAb",12.5
"Plate1","IgA","27(1,B3)","Control: HlyE mAb3.125 ng.mL","HlyE",3072.62378,"Controls",">50","HlyE mAb",3.125
"Plate1","IgA","28(1,B4)","Control: HlyE mAb3.125 ng.mL","HlyE",2289.73584,"Controls",">50","HlyE mAb",3.125
"Plate1","IgA","29(1,B5)","Control: HlyE mAb0.78125 ng.mL","HlyE",617.80554,"Controls",">50","HlyE mAb",0.78125
"Plate1","IgA","30(1,B6)","Control: HlyE mAb0.78125 ng.mL","HlyE",629.43164,"Controls",">50","HlyE mAb",0.78125
"Plate1","IgA","31(1,B7)","Control: HlyE mAb0.1953125 ng.mL","HlyE",264.92441,"Controls",">50","HlyE mAb",0.1953125
"Plate1","IgA","32(1,B8)","Control: HlyE mAb0.1953125 ng.mL","HlyE",272.04648,"Controls",">50","HlyE mAb",0.1953125
"Plate1","IgA","33(1,B9)","Control: HlyE mAb0.048828125 ng.mL","HlyE",120.59209,"Controls",">50","HlyE mAb",0.048828125
"Plate1","IgA","34(1,B10)","Control: HlyE mAb0.048828125 ng.mL","HlyE",95.99355,"Controls",">50","HlyE mAb",0.048828125
"Plate1","IgA","35(1,B11)","Control: HlyE mAb0.012207031 ng.mL","HlyE",60.11758,"Controls",">50","HlyE mAb",0.012207031
"Plate1","IgA","36(1,B12)","Control: HlyE mAb0.012207031 ng.mL","HlyE",54.54942,"Controls",">50","HlyE mAb",0.012207031
"Plate1","IgA","37(1,B13)","Control: HlyE mAb0.003051758 ng.mL","HlyE",52.37461,"Controls",">50","HlyE mAb",0.003051758
"Plate1","IgA","38(1,B14)","Control: HlyE mAb0.003051758 ng.mL","HlyE",40.25879,"Controls",">50","HlyE mAb",0.003051758
"Plate1","IgA","39(1,B15)","Control: MGH VC pool1:100","HlyE",694.88495,"Controls",">50","MGH VC pool",0.01
"Plate1","IgA","40(1,B16)","Control: MGH VC pool1:100","HlyE",878.31897,"Controls",">50","MGH VC pool",0.01
"Plate1","IgA","41(1,B17)","Control: MGH VC pool1:400","HlyE",172.52843,"Controls",">50","MGH VC pool",0.0025
"Plate1","IgA","42(1,B18)","Control: MGH VC pool1:400","HlyE",174.13544,"Controls",">50","MGH VC pool",0.0025
"Plate1","IgA","43(1,B19)","Control: MGH VC pool1:1600","HlyE",70.38399,"Controls",">50","MGH VC pool",0.000625
"Plate1","IgA","44(1,B20)","Control: MGH VC pool1:1600","HlyE",75.65,"Controls",">50","MGH VC pool",0.000625
"Plate1","IgA","45(1,B21)","Control: MGH VC pool1:6400","HlyE",46.93926,"Controls",">50","MGH VC pool",0.00015625
"Plate1","IgA","46(1,B22)","Control: MGH VC pool1:6400","HlyE",50.19316,"Controls",">50","MGH VC pool",0.00015625
"Plate1","IgA","47(1,B23)","Control: MGH VC pool1:25600","HlyE",43.87129,"Controls",">50","MGH VC pool",3.91e-05
"Plate1","IgA","48(1,B24)","Control: MGH VC pool1:25600","HlyE",39.93838,"Controls",">50","MGH VC pool",3.91e-05
"Plate1","IgA","49(1,C1)","Control: MGH VC pool1:102400","HlyE",36.82061,"Controls",">50","MGH VC pool",9.77e-06
"Plate1","IgA","50(1,C2)","Control: MGH VC pool1:102400","HlyE",36.39394,"Controls",">50","MGH VC pool",9.77e-06
"Plate1","IgA","51(1,C3)","Control: MGH VC pool1:409600","HlyE",34.41836,"Controls",">50","MGH VC pool",2.44e-06
"Plate1","IgA","52(1,C4)","Control: MGH VC pool1:409600","HlyE",43.09101,"Controls",">50","MGH VC pool",2.44e-06
"Plate1","IgA","53(1,C5)","Control: MGH VC pool1:1638400","HlyE",37.45976,"Controls",">50","MGH VC pool",6.1e-07
"Plate1","IgA","54(1,C6)","Control: MGH VC pool1:1638400","HlyE",35.17373,"Controls",">50","MGH VC pool",6.1e-07
"Plate1","IgA","55(1,C7)","Control: MGH Typhi HL1:1000","HlyE",9458.95801,"Controls",">50","MGH Typhi HL",0.001
"Plate1","IgA","56(1,C8)","Control: MGH Typhi HL1:1000","HlyE",9645.53516,"Controls",">50","MGH Typhi HL",0.001
"Plate1","IgA","57(1,C9)","Control: MGH Typhi HL1:4000","HlyE",1045.08826,"Controls",">50","MGH Typhi HL",0.00025
"Plate1","IgA","58(1,C10)","Control: MGH Typhi HL1:4000","HlyE",832.26953,"Controls",">50","MGH Typhi HL",0.00025
"Plate1","IgA","59(1,C11)","Control: MGH Typhi HL1:16000","HlyE",361.63016,"Controls",">50","MGH Typhi HL",6.25e-05
"Plate1","IgA","60(1,C12)","Control: MGH Typhi HL1:16000","HlyE",310.85928,"Controls",">50","MGH Typhi HL",6.25e-05
"Plate1","IgA","61(1,C13)","Control: MGH Cholera HL1:1000","HlyE",142.96269,"Controls",">50","MGH Cholera HL",0.001
"Plate1","IgA","62(1,C14)","Control: MGH Cholera HL1:1000","HlyE",114.73008,"Controls",">50","MGH Cholera HL",0.001
"Plate1","IgA","63(1,C15)","Control: MGH Cholera HL1:4000","HlyE",63.89277,"Controls",">50","MGH Cholera HL",0.00025
"Plate1","IgA","64(1,C16)","Control: MGH Cholera HL1:4000","HlyE",56.1,"Controls",">50","MGH Cholera HL",0.00025
"Plate1","IgA","65(1,C17)","Control: MGH Cholera HL1:16000","HlyE",39.90684,"Controls",">50","MGH Cholera HL",6.25e-05
"Plate1","IgA","66(1,C18)","Control: MGH Cholera HL1:16000","HlyE",43.22715,"Controls",">50","MGH Cholera HL",6.25e-05
"Plate1","IgA","67(1,C19)","Control: MGH Shigella HL1:1000","HlyE",586.95154,"Controls",">50","MGH Shigella HL",0.001
"Plate1","IgA","68(1,C20)","Control: MGH Shigella HL1:1000","HlyE",590.2254,"Controls",">50","MGH Shigella HL",0.001
"Plate1","IgA","69(1,C21)","Control: MGH Shigella HL1:4000","HlyE",172.55,"Controls",">50","MGH Shigella HL",0.00025
"Plate1","IgA","70(1,C22)","Control: MGH Shigella HL1:4000","HlyE",156.24063,"Controls",">50","MGH Shigella HL",0.00025
"Plate1","IgA","71(1,C23)","Control: MGH Shigella HL1:16000","HlyE",73.74082,"Controls",">50","MGH Shigella HL",6.25e-05
"Plate1","IgA","72(1,C24)","Control: MGH Shigella HL1:16000","HlyE",61.41748,"Controls",">50","MGH Shigella HL",6.25e-05
